SDG,SDG_Name,Country,Division,DivisionCode,Zila,ZilaCode,Estimate,Unit,Indicator,Source,Year,Definition,Note
2,No Hunger,Bangladesh,Barisal,10,Barguna,4,586,Hectares,Potato (Total) Area (Hectares),Agricultural Yearbook 2017,2017,Estimate of land area under potato (local + high-yielding variety). Potato is planted mid-September to November and harvested mid-January to March.,SDG 2 Related
2,No Hunger,Bangladesh,Barisal,10,Barguna,4,0,Hectares,Aman Rice (Broadcast) Area (Hectares),Agricultural Yearbook 2017,2017,Estimate of land area under local broadcast aman rice. Local broadcast aman rice is sown mid-March to mid-April and harvested mid-November to mid-December. ,SDG 2 Related
2,No Hunger,Bangladesh,Barisal,10,Barguna,4,0,Metric ton,Wheat (Total) Production (Metric ton),Agricultural Yearbook 2017,2017,Estimate of wheat production. Wheat is planted in November to December and harvested March to mid-April. ,SDG 2 Related
2,No Hunger,Bangladesh,Barisal,10,Barguna,4,0,Metric ton,Potato (Local) Production (Metric ton),Agricultural Yearbook 2017,2017,Estimate of local potato production. Potato is planted mid-September to November and harvested mid-January to March. ,SDG 2 Related
2,No Hunger,Bangladesh,Barisal,10,Barguna,4,0,Metric ton,Boro Rice (Local) Production (Metric ton),Agricultural Yearbook 2017,2017,Estimate of boro local rice production. Boro local rice is planted mid-November to mid-January and harvested April to May. ,SDG 2 Related
2,No Hunger,Bangladesh,Barisal,10,Barguna,4,2239,Hectares,Aus Rice (Local) Area (Hectares),Agricultural Yearbook 2017,2017,Estimate of land area under aus local rice. Aus rice is planted mid-March to mid-April and harvested July to August.  ,SDG 2 Related
2,No Hunger,Bangladesh,Barisal,10,Barguna,4,1105,Metric ton,Boro Rice (HYV) Production (Metric ton),Agricultural Yearbook 2017,2017,Estimate of boro high-yielding variety rice production. Boro high-yielding variety rice is planted December to mid-February and harvested in mid-April to June. ,SDG 2 Related
2,No Hunger,Bangladesh,Barisal,10,Barguna,4,26187,Hectares,Aman Rice (HYV) Area (Hectares),Agricultural Yearbook 2017,2017,Estimate of land area under high-yielding variety transplant aman rice. High-yielding variety transplant aman rice is sown late June to mid-August and harvested December to early January. ,SDG 2 Related
2,No Hunger,Bangladesh,Barisal,10,Barguna,4,0,Hectares,Boro Rice (Local) Area (Hectares),Agricultural Yearbook 2017,2017,Estimate of land area under boro local rice. Boro local rice is planted mid-November to mid-January and harvested April to May. ,SDG 2 Related
2,No Hunger,Bangladesh,Barisal,10,Barguna,4,38305,Hectares,Aus Rice (HYV) Area (Hectares),Agricultural Yearbook 2017,2017,Estimate of land area under aus high-yielding variety rice. Aus rice is planted mid-March to mid-April and harvested July to August.  ,SDG 2 Related
