SDG,SDG_Name,Division,DivisionCode,Zila,ZilaCode,Country,Estimate,Unit,Indicator,Source,Year,Definition,Note
3,Good Health and Wellbeing,Barisal,10,Barguna,4,Bangladesh,29,Number per 1000 live births,Under five mortality (Number per 1000 live births),BBS Vital Statistics 2017,2017,Number of deaths to children under five years old per 1000 live births.,SDG 3.2.1
3,Good Health and Wellbeing,Barisal,10,Barguna,4,Bangladesh,77,Percent,Ever used a method to avoid pregnancy (Percent),MICS-WM,2019,Percentage of women 15-64 who ever used a method to avoid pregnancy,SDG 3 Related
3,Good Health and Wellbeing,Barisal,10,Barguna,4,Bangladesh,78,Percent,Contraceptive prevalence rate (Percent),BBS Vital Statistics 2017,2017,Percentage of currently married women of child-bearing age who report using a family planning method at the time of the inquiry. ,SDG 3 Related
3,Good Health and Wellbeing,Barisal,10,Barguna,4,Bangladesh,63,Number per 1000 women,General fertility rate (Number per 1000 women),BBS Vital Statistics 2017,2017,The number of live births per year per 1000 women of child-bearing age. ,SDG 3 Related
3,Good Health and Wellbeing,Barisal,10,Barguna,4,Bangladesh,2,Number per 1000 women,Total fertility rate (Number per 1000 women),BBS Vital Statistics 2017,2017,The total fertility rate is the number of children a woman would bear throughout her lifetime at the rates specified by the schedule of age-specific fertility rates for a particular year.  Obtained by summing the age-specific fertility rates for each year for each age group (usually five-year age groups) of women in child-bearing age. ,SDG 3 Related
3,Good Health and Wellbeing,Barisal,10,Barguna,4,Bangladesh,29,Number per 1000 live births,Infant mortality rate (Number per 1000 live births),BBS Vital Statistics 2017,2017,"Number of infant deaths per 1000 live births, where infants are defined as those who are younger than one year old. ",SDG 3 Related
3,Good Health and Wellbeing,Barisal,10,Barisal,6,Bangladesh,72,Percent,Ever used a method to avoid pregnancy (Percent),MICS-WM,2019,Percentage of women 15-64 who ever used a method to avoid pregnancy,SDG 3 Related
3,Good Health and Wellbeing,Barisal,10,Barisal,6,Bangladesh,69,Percent,Contraceptive prevalence rate (Percent),BBS Vital Statistics 2017,2017,Percentage of currently married women of child-bearing age who report using a family planning method at the time of the inquiry. ,SDG 3 Related
3,Good Health and Wellbeing,Barisal,10,Barisal,6,Bangladesh,15,Number per 1000 live births,Infant mortality rate (Number per 1000 live births),BBS Vital Statistics 2017,2017,"Number of infant deaths per 1000 live births, where infants are defined as those who are younger than one year old. ",SDG 3 Related
3,Good Health and Wellbeing,Barisal,10,Barisal,6,Bangladesh,2,Number per 1000 women,Total fertility rate (Number per 1000 women),BBS Vital Statistics 2017,2017,The total fertility rate is the number of children a woman would bear throughout her lifetime at the rates specified by the schedule of age-specific fertility rates for a particular year.  Obtained by summing the age-specific fertility rates for each year for each age group (usually five-year age groups) of women in child-bearing age. ,SDG 3 Related
3,Good Health and Wellbeing,Barisal,10,Barisal,6,Bangladesh,32,Number per 1000 live births,Under five mortality (Number per 1000 live births),BBS Vital Statistics 2017,2017,Number of deaths to children under five years old per 1000 live births.,SDG 3.2.1
3,Good Health and Wellbeing,Barisal,10,Barisal,6,Bangladesh,70,Number per 1000 women,General fertility rate (Number per 1000 women),BBS Vital Statistics 2017,2017,The number of live births per year per 1000 women of child-bearing age. ,SDG 3 Related
3,Good Health and Wellbeing,Barisal,10,Bhola,9,Bangladesh,2,Number per 1000 women,Total fertility rate (Number per 1000 women),BBS Vital Statistics 2017,2017,The total fertility rate is the number of children a woman would bear throughout her lifetime at the rates specified by the schedule of age-specific fertility rates for a particular year.  Obtained by summing the age-specific fertility rates for each year for each age group (usually five-year age groups) of women in child-bearing age. ,SDG 3 Related
3,Good Health and Wellbeing,Barisal,10,Bhola,9,Bangladesh,72,Percent,Ever used a method to avoid pregnancy (Percent),MICS-WM,2019,Percentage of women 15-64 who ever used a method to avoid pregnancy,SDG 3 Related
3,Good Health and Wellbeing,Barisal,10,Bhola,9,Bangladesh,58,Number per 1000 live births,Under five mortality (Number per 1000 live births),BBS Vital Statistics 2017,2017,Number of deaths to children under five years old per 1000 live births.,SDG 3.2.1
3,Good Health and Wellbeing,Barisal,10,Bhola,9,Bangladesh,50,Number per 1000 women,General fertility rate (Number per 1000 women),BBS Vital Statistics 2017,2017,The number of live births per year per 1000 women of child-bearing age. ,SDG 3 Related
3,Good Health and Wellbeing,Barisal,10,Bhola,9,Bangladesh,75,Percent,Contraceptive prevalence rate (Percent),BBS Vital Statistics 2017,2017,Percentage of currently married women of child-bearing age who report using a family planning method at the time of the inquiry. ,SDG 3 Related
3,Good Health and Wellbeing,Barisal,10,Bhola,9,Bangladesh,36,Number per 1000 live births,Infant mortality rate (Number per 1000 live births),BBS Vital Statistics 2017,2017,"Number of infant deaths per 1000 live births, where infants are defined as those who are younger than one year old. ",SDG 3 Related
