Country,Division,DivisionCode,Zila,ZilaCode,Estimate,Unit,Indicator,Theme,Source,Year,Definition
Bangladesh,Barisal,10,Barguna,4,892781,Number,Total Population in 2011 (Number),Population Size,Population Census 2011,2011,Total Population in 2011
Bangladesh,Barisal,10,Barguna,4,708547,Number,Rural Population in 1991 (Number),Population Size,Population Census 1991,1991,Rural Population in 1991
Bangladesh,Barisal,10,Barguna,4,760972,Number,Rural Population in 2001 (Number),Population Size,Population Census 2001,2001,Rural Population in 2001
Bangladesh,Barisal,10,Barguna,4,103094,Number,Urban Population in 2011 (Number),Population Size,Population Census 2011,2011,Urban Population in 2011
Bangladesh,Barisal,10,Barguna,4,848554,Number,Total Population in 2001 (Number),Population Size,Population Census 2001,2001,Total Population in 2001
Bangladesh,Barisal,10,Barguna,4,789687,Number,Rural Population in 2011 (Number),Population Size,Population Census 2011,2011,Rural Population in 2011
Bangladesh,Barisal,10,Barguna,4,534220,Number,Working-age population (Number),Population Size,Population Census 2011,2011,Total number of working age population (15-64 years).
Bangladesh,Barisal,10,Barguna,4,87582,Number,Urban Population in 2001 (Number),Population Size,Population Census 2001,2001,Urban Population in 2001
Bangladesh,Barisal,10,Barguna,4,67146,Number,Urban Population in 1991 (Number),Population Size,Population Census 1991,1991,Urban Population in 1991
Bangladesh,Barisal,10,Barguna,4,775693,Number,Total Population in 1991 (Number),Population Size,Population Census 1991,1991,Total Population in 1991
Bangladesh,Barisal,10,Barisal,6,1805294,Number,Rural Population in 2011 (Number),Population Size,Population Census 2011,2011,Rural Population in 2011
Bangladesh,Barisal,10,Barisal,6,394567,Number,Urban Population in 2001 (Number),Population Size,Population Census 2001,2001,Urban Population in 2001
Bangladesh,Barisal,10,Barisal,6,1961400,Number,Rural Population in 2001 (Number),Population Size,Population Census 2001,2001,Rural Population in 2001
Bangladesh,Barisal,10,Barisal,6,1876451,Number,Urban Population in 1991 (Number),Population Size,Population Census 1991,1991,Urban Population in 1991
Bangladesh,Barisal,10,Barisal,6,1346080,Number,Working-age population (Number),Population Size,Population Census 2011,2011,Total number of working age population (15-64 years).
Bangladesh,Barisal,10,Barisal,6,2207426,Number,Total Population in 1991 (Number),Population Size,Population Census 1991,1991,Total Population in 1991
Bangladesh,Barisal,10,Barisal,6,330975,Number,Rural Population in 1991 (Number),Population Size,Population Census 1991,1991,Rural Population in 1991
Bangladesh,Barisal,10,Barisal,6,519016,Number,Urban Population in 2011 (Number),Population Size,Population Census 2011,2011,Urban Population in 2011
